분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
B 탈루_1 고체연료,186.90775,163.46965,129.93546,102.51321,80.74693,62.09632,53.74806,48.98227,47.34302,45.56263,45.0524,41.43735,36.02021,35.80309,34.6415,30.74419,30.65734,31.33042,30.10369,27.34626,22.6239,22.6239,22.73246,19.70364,18.97629,19.14998,18.73746,16.12116,13.04891,11.7679,11.06226,9.74869,8.90192
B 탈루_2 석유 및 천연가스,0.07166,0.09865,0.13399,0.18193,0.229,0.29841,0.39111,0.48937,0.50944,0.6283,0.74831,0.80204,0.86699,0.91509,9.92703,25.5791,22.70133,17.53395,12.2424,24.53709,26.83148,22.54248,21.80223,23.10421,16.37531,10.07136,8.59928,17.34782,15.78322,13.51455,9.98609,4.11999,1.7247
B 탈루_2 석유 및 천연가스_a 석유,0.02402,0.03111,0.03968,0.04367,0.04469,0.04869,0.05624,0.06804,0.06381,0.06809,0.06964,0.06695,0.06162,0.0627,0.06433,0.06569,0.06924,0.06798,0.06738,0.06506,0.06797,0.07222,0.0738,0.07129,0.07226,0.07994,0.08399,0.08711,0.08696,0.08351,0.07637,0.0748,0.08034
B 탈루_2 석유 및 천연가스_b 천연가스,0.03889,0.05821,0.08263,0.12123,0.16149,0.22355,0.30031,0.37814,0.40616,0.51303,0.62029,0.67678,0.735,0.78062,0.82199,0.92808,0.92028,0.94571,1.00612,1.01819,1.1645,1.22164,1.3253,1.30319,1.19944,1.11417,1.14377,1.23376,1.33557,1.26493,1.22518,1.3036,1.35886
B 탈루_2 석유 및 천연가스_c 탈기 및 소각,0.00875,0.00934,0.01167,0.01703,0.02282,0.02618,0.03457,0.04319,0.03947,0.04718,0.05838,0.05832,0.07036,0.07177,9.0407,24.58532,21.71181,16.52026,11.16891,23.45384,25.59901,21.24861,20.40314,21.72973,15.10361,8.87725,7.37152,16.02695,14.36068,12.16611,8.68454,2.74158,0.28549
C 이산화탄소 수송 및 저장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산업공정 및 제품사용,36119.87573,42274.10537,48598.41158,55147.91009,58276.93329,61591.04114,63745.46184,66896.03104,61630.72698,63250.56018,65160.3093,71377.32583,72654.59092,74629.29007,74534.10766,77139.63877,78451.6155,73852.89404,75259.78253,69911.32009,72799.81936,76240.4628,77514.14311,88467.21043,90437.92948,91763.19922,90424.67047,95993.607,93240.51429,92710.12302,86012.71849,89690.64151,88082.11838
A 광물산업,16386.70859,19523.83459,21749.27038,25352.70398,27687.11679,29093.19548,29305.51387,30433.50549,23929.3322,24996.35358,26101.30274,27071.24664,28485.05698,29471.31801,27768.27478,25097.93321,24905.71682,28165.26589,28819.51026,28089.12045,28334.52035,29172.78762,29364.92197,29451.70313,29893.39887,30550.1457,32196.89988,31963.44369,30453.91666,30539.66081,27967.38921,29005.85992,28421.12994
A 광물산업_1 시멘트생산,15870.87167,18960.06458,21126.4456,24697.87712,26837.23615,28101.72186,28305.65937,29317.10808,22876.59464,23716.88624,24753.54328,25662.75783,27104.25425,27917.99316,26121.24588,23323.5361,23137.27391,26272.6328,26077.02228,24550.64631,24294.27669,24717.80591,24845.97685,25047.56965,25409.10132,25776.03286,26669.10389,26347.95632,24699.53025,24927.30967,22700.49754,23516.13019,23227.36079
A 광물산업_2 석회생산,256.80845,297.30212,321.70044,356.06041,509.39199,637.75489,635.0926,750.25064,762.22655,815.95337,803.60178,787.74694,758.82141,893.501,932.5648,1033.49394,1028.29304,1019.56201,1856.60289,2607.18495,2970.55533,3314.36204,3365.49895,3242.22925,3287.56606,3415.21829,4108.99561,4153.96448,4303.17979,4335.59762,3978.67008,4215.70053,3961.71488
